Name,Season,Date,Competition,Round,Venue,Result,Squad,Opponent
Toby Alderweireld,2018-2019,2018-09-29,Premier League,Matchweek 7,Away,W 2–0,Tottenham,Huddersfield
Toby Alderweireld,2018-2019,2018-10-03,Champions Lg,Group stage,Home,L 2–4,Tottenham,Barcelona
Toby Alderweireld,2018-2019,2018-10-06,Premier League,Matchweek 8,Home,W 1–0,Tottenham,Cardiff City
Toby Alderweireld,2018-2019,2018-10-12,UEFA Nations League,Group stage,Home,W 2–1,Belgium,Switzerland
Toby Alderweireld,2018-2019,2018-10-16,Friendlies (M),Friendlies (M),Home,D 1–1,Belgium,Netherlands
Marc Albrighton,2017-2018,2017-12-30,Premier League,Matchweek 21,Away,L 1–2,Leicester City,Liverpool
Marc Albrighton,2017-2018,2018-01-01,Premier League,Matchweek 22,Home,W 3–0,Leicester City,Huddersfield
Marc Albrighton,2017-2018,2018-01-06,FA Cup,Third round,Away,D 0–0,Leicester City,Fleetwood Town
Marc Albrighton,2017-2018,2018-01-13,Premier League,Matchweek 23,Away,D 0–0,Leicester City,Chelsea
Marc Albrighton,2017-2018,2018-01-16,FA Cup,Third round,Home,W 2–0,Leicester City,Fleetwood Town
Marc Albrighton,2017-2018,2018-01-20,Premier League,Matchweek 24,Home,W 2–0,Leicester City,Watford
Marc Albrighton,2017-2018,2018-01-27,FA Cup,Fourth round,Away,W 5–1,Leicester City,P'borough Utd
Marc Albrighton,2017-2018,2018-01-31,Premier League,Matchweek 25,Away,L 1–2,Leicester City,Everton
Marc Albrighton,2017-2018,2018-02-03,Premier League,Matchweek 26,Home,D 1–1,Leicester City,Swansea City
Marc Albrighton,2017-2018,2018-02-10,Premier League,Matchweek 27,Away,L 1–5,Leicester City,Manchester City
Marc Albrighton,2017-2018,2018-02-16,FA Cup,Fifth round,Home,W 1–0,Leicester City,Sheffield Utd
Marc Albrighton,2017-2018,2018-02-24,Premier League,Matchweek 28,Home,D 1–1,Leicester City,Stoke City
Marc Albrighton,2017-2018,2018-03-03,Premier League,Matchweek 29,Home,D 1–1,Leicester City,Bournemouth
Alisson,2018-2019,2019-05-07,Champions Lg,Semi-finals,Home,W 4–0,Liverpool,Barcelona
Alisson,2018-2019,2019-05-12,Premier League,Matchweek 38,Home,W 2–0,Liverpool,Wolves
Alisson,2018-2019,2019-06-01,Champions Lg,Final,Away,W 2–0,Liverpool,Tottenham
Alisson,2018-2019,2019-06-09,Friendlies (M),Friendlies (M),Home,W 7–0,Brazil,Honduras
Alisson,2018-2019,2019-06-14,Copa América,Group stage,Neutral,W 3–0,Brazil,Bolivia
