state,country,total
South Dakota,Mccook County,9
South Dakota,Minnehaha County,106
South Dakota,Moody County,7
South Dakota,Pennington County,62
South Dakota,Turner County,13
South Dakota,Union County,7
South Dakota,Yankton County,23
Rhode Island,Bristol County,211
Rhode Island,Kent County,276
Rhode Island,Newport County,45
Rhode Island,Providence County,344
Rhode Island,Washington County,26
Virginia,Accomack County,13
South Carolina,Abbeville County,10
South Carolina,Aiken County,61
South Carolina,Allendale County,5
South Carolina,Anderson County,56
South Carolina,Bamberg County,10
South Carolina,Barnwell County,7
Virginia,Albemarle County,54
Virginia,Alexandria City,56
Virginia,Alleghany County,12
Virginia,Amelia County,1
Virginia,Amherst County,4
Virginia,Appomattox County,6
Virginia,Arlington County,45
Virginia,Augusta County,20
Virginia,Bedford County,19
Virginia,Bland County,1
Virginia,Botetourt County,11
Virginia,Bristol County,211
Virginia,Brunswick County,22
Virginia,Buchanan County,8
Virginia,Buckingham County,2
Virginia,Campbell County,2
South Carolina,Beaufort County,75
South Carolina,Berkeley County,29
South Carolina,Calhoun County,52
South Carolina,Charleston County,144
South Carolina,Cherokee County,17
South Carolina,Chester County,9
South Carolina,Chesterfield County,18
South Carolina,Clarendon County,11
South Carolina,Colleton County,6
South Carolina,Darlington County,19
South Carolina,Dillon County,7
South Carolina,Dorchester County,38
South Carolina,Edgefield County,7
South Carolina,Fairfield County,8
South Carolina,Florence County,60
South Carolina,Georgetown County,40
Virginia,Caroline County,14
Virginia,Carroll County,6
Virginia,Charles City,8
Virginia,Charlotte County,75
Virginia,Charlottesville City,17
Virginia,Chesapeake City,0
Virginia,Chesterfield County,18
Virginia,Clarke County,12
Virginia,Colonial Heights City,10
Virginia,Craig County,19
Virginia,Culpeper County,18
Virginia,Cumberland County,153
Virginia,Danville City,42
Virginia,Dinwiddie County,5
Virginia,Emporia City,0
South Carolina,Greenville County,184
South Carolina,Greenwood County,29
South Carolina,Hampton County,6
South Carolina,Horry County,93
South Carolina,Jasper County,14
South Carolina,Kershaw County,22
South Carolina,Lancaster County,21
South Carolina,Laurens County,36
South Carolina,Lee County,7
South Carolina,Lexington County,88
South Carolina,Marion County,5
South Carolina,Marlboro County,6
South Carolina,Mccormick County,4
South Carolina,Newberry County,11
South Carolina,Oconee County,34
South Carolina,Orangeburg County,47
South Carolina,Pickens County,46
Virginia,Essex County,320
Virginia,Fairfax City,43
Virginia,Fairfax County,267
Virginia,Falls Church City,23
Virginia,Fauquier County,19
Virginia,Floyd County,4
Virginia,Fluvanna County,3
Virginia,Franklin City,12
Virginia,Franklin County,13
